시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
충청북도,청주시 흥덕구,솔밭초등학교 운동장,충청북도 청주시 흥덕구 복대동   288-9,2835.0000,127.426407,36.641325,임숙경
충청북도,청주시 흥덕구,직지초등학교 운동장,충청북도 청주시 흥덕구 복대동   3368,2816.0000,127.438006,36.639784,임숙경
충청북도,청주시,증안초등학교 운동장,충청북도 청주시 흥덕구 복대동   2610,1898.0000,127.427583,36.634410,임숙경
충청북도,청주시,봉정초등학교 운동장,충청북도 청주시 흥덕구 봉명동   2141,5734.0000,127.456873,36.647699,이순용
충청북도,청주시,봉명중학교 운동장,충청북도 청주시 흥덕구 봉명동   1305,8800.0000,127.460454,36.646509,임지영
충청북도,청주시,수성초등학교 운동장,충청북도 청주시 청원구 내수읍 내수리 263-1,2285.0000,127.526758,36.718743,김석원
충청북도,청주시,내수중학교 운동장,충청북도 청주시 청원구 내수읍 마산리 1,6000.0000,127.537840,36.723183,김석원
충청북도,청주시,내수초등학교 운동장,충청북도 청주시 청원구 내수읍 마산리 171,3570.0000,127.537481,36.726631,김석원
충청북도,청주시 청원구,오창초등학교 운동장,충청북도 청주시 청원구 오창읍 장대리 238,12426.0000,127.457821,36.740299,오현진
충청북도,청주시 청원구,각리초등학교 운동장,충청북도 청주시 청원구 오창읍 각리 646-2,3237.0000,127.423973,36.706631,오현진
충청북도,청주시 청원구,각리중학교 운동장,충청북도 청주시 청원구 오창읍 각리 637-4,4960.0000,127.421894,36.708757,오현진
충청북도,청주시,북이면사무소 주차장,충청북도 청주시 청원구 북이면 신대리 4-8,3000.0000,127.541908,36.739193,이상욱
충청북도,청주시 청원구,대길초등학교 운동장,충청북도 청주시 청원구 북이면 대길리 228,3800.0000,127.558728,36.732358,이상욱
충청북도,청주시 청원구,북이초등학교 운동장,충청북도 청주시 청원구 북이면 내추리 2-3,10000.0000,127.555840,36.761783,이상욱
충청북도,청주시,석성초등학교 운동장,충청북도 청주시 청원구 북이면 내둔리 344,7825.0000,127.513741,36.748484,이상욱
충청북도,청주시,중앙중학교 운동장,충청북도 청주시 청원구 우암동   261-174,10354.0000,127.479988,36.654125,
충청북도,청주시,덕벌초등학교 운동장,충청북도 청주시 청원구 우암동   261-10,5923.0000,127.479234,36.655024,
충청북도,청주시,가덕초등학교 운동장,충청북도 청주시 상당구 가덕면 병암리 125,3376.0000,127.578165,36.578340,오한정
충청북도,청주시 상당구,문의초등학교 운동장,충청북도 청주시 상당구 문의면 미천리 228,5132.0000,127.493541,36.518153,
충청북도,청주시 상당구,문의중학교 운동장,충청북도 청주시 상당구 문의면 미천리 108-2,11889.0000,127.501055,36.515780,
충청북도,청주시,청운중학교 운동장,충청북도 청주시 상당구 영운동   73-48,7731.0000,127.505445,36.618488,황승서
충청북도,청주시,청남초등학교 운동장,충청북도 청주시 상당구 영운동   127,1087.0000,127.497711,36.620126,황승서
충청북도,청주시,주성고등학교 운동장,충청북도 청주시 상당구 용담동   437,3790.0000,127.510525,36.634653,
충청북도,청주시,원봉초등학교 운동장,충청북도 청주시 상당구 용암동   1328,5600.0000,127.501755,36.612641,유인영
충청북도,청주시,원봉중학교 운동장,충청북도 청주시 상당구 용암동   2100,6834.0000,127.505712,36.613955,유인용
충청북도,청주시 상당구,용성초등학교 운동장,충청북도 청주시 상당구 용암동   2840,3795.0000,127.516953,36.623793,유인영
충청북도,청주시,운동초등학교 운동장,충청북도 청주시 상당구 운동동   430-3,3750.0000,127.513089,36.606442,
충청북도,청주시,현도중학교 운동장,충청북도 청주시 서원구 현도면 선동리 256-3,15000.0000,127.425891,36.483153,민명기
충청북도,청주시 서원구,현도초등학교 운동장,충청북도 청주시 서원구 현도면 달계리 545-1,9816.0000,127.426834,36.476896,민명기
충청북도,청주시 서원구,현도정보고등학교 운동장,충청북도 청주시 서원구 현도면 죽암리 262,3600.0000,127.436576,36.521338,민명기
충청북도,청주시,한벌초등학교 운동장,충청북도 청주시 서원구 사직동   560,2825.0000,127.475205,36.636754,이선형
충청북도,청주시,창수경로당 앞 광장,충청북도 청주시 서원구 사창동   475,1165.0000,127.459177,36.632460,오화균
충청북도,청주시,창신초등학교 운동장,충청북도 청주시 서원구 사창동   351,5104.0000,127.464209,36.629684,성호경
충청북도,청주시,중앙여자고등학교 운동장,충청북도 청주시 서원구 사창동   227,10343.0000,127.464314,36.637497,남재현
충청북도,청주시,모충초등학교 운동장,충청북도 청주시 서원구 모충동   372,8289.0000,127.478340,36.625733,이형성
충청북도,청주시,샛별초등학교 운동장,충청북도 청주시 서원구 산남동   1095,3780.0000,127.471647,36.608666,임태영
충청북도,청주시,산남중학교,충청북도 청주시 서원구 산남동   672-0,2300.0000,127.463589,36.611493,임태영
충청북도,청주시,오송초등학교 운동장,충청북도 청주시 흥덕구 오송읍 오송리 60-1,7260.0000,127.325706,36.612701,류권상
충청북도,청주시 흥덕구,강내초등학교운동장,충청북도 청주시 흥덕구 강내면 다락리 348-1,4044.0000,127.356821,36.597097,조영호
강원도,인제군,하남초등학교,강원도 인제군 상남면 하남리 1230,3647.0000,128.285610,37.910938,
강원도,고성군,거성초등학교 운동장,강원도 고성군 거진읍 거진리 180,4950.0000,128.457613,38.452219,학교 담당자 김현식
강원도,고성군,거진중학교 운동장,강원도 고성군 거진읍 봉평리 31-1,4950.0000,128.448483,38.446750,학교 담당자 윤상구
강원도,고성군,대진초등학교 운동장,강원도 고성군 현내면 대진리 148,5610.0000,128.423579,38.497006,이건원
강원도,고성군,대진중고등학교 운동장,강원도 고성군 현내면 초도리 75,1617.0000,128.433220,38.484239,이건원
강원도,고성군,공현진초등학교 운동장,강원도 고성군 죽왕면 공현진리 334,2310.0000,128.507426,38.353932,학교 담당자 고석환
강원도,고성군,동광초등학교 운동장,강원도 고성군 토성면 교암리 86,1650.0000,128.544037,38.288463,학교 담당자 윤미순
강원도,양양군,양양초등학교 운동장,강원도 양양군 양양읍 구교리 28,7519.0000,128.622336,38.077191,
강원도,양양군,양양여자중고등학교 운동장,강원도 양양군 양양읍 서문리 224,3143.0000,128.613189,38.072915,
강원도,양양군,양양고등학교 운동장,강원도 양양군 양양읍 서문리 115,11.1220,128.616311,38.072634,
