시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
충청남도,보령시,옥계초등학교(강당),충청남도 보령시 청라면죽성로 681  ,512.0000,126.645480,36.411839,황호영
충청남도,보령시,"월전초등학교(교실,식당)",충청남도 보령시 남포면곡촌길 11  ,630.0000,126.568040,36.271477,이금자
충청남도,보령시,주산초등학교(전체시설),충청남도 보령시 주산면충서로 416  ,1981.0000,126.634555,36.199567,최창배
충청남도,보령시,동오1리경로당(전체시설),충청남도 보령시 주산면 96-1,134.0000,126.646732,36.238455,강중석
충청남도,공주시,대학마을회관,충청남도 공주시 탄천면합천1길 2  ,100.0000,127.014915,36.378459,정연광
충청남도,공주시,중장2리마을회관,충청남도 공주시 계룡면농바위길 1-1  ,90.0000,127.167446,36.369474,손원기
충청남도,공주시,계룡초등학교,충청남도 공주시 계룡면영규대사로 459  ,1377.0000,127.141277,36.357599,조미희
충청남도,공주시,수촌초등학교,충청남도 공주시 의당면윗태실길 1-8  ,684.0000,127.135082,36.516969,이은순
충청남도,공주시,석송초등학교,충청남도 공주시 정안면마래섭들길 56  ,235.0000,127.114270,36.564270,김옥규
충청남도,공주시,정안초등학교,충청남도 공주시 정안면정안중앙길 79  ,926.0000,,,오진명
충청남도,공주시,상서초등학교,충청남도 공주시 우성면우성길 137-37  ,270.0000,127.077579,36.478836,이성진
충청남도,공주시,우성중학교,충청남도 공주시 우성면구레말길 86  ,665.0000,127.053786,36.463747,명노진
충청남도,공주시,용봉리마을회관,충청남도 공주시 우성면신영골길 1-10  ,195.0000,127.020841,36.441407,조권식
충청남도,공주시,봉현리 마을회관,충청남도 공주시 우성면용봉입동로 498  ,128.0000,126.990401,36.463984,조권식
충청남도,공주시,신풍초등학교,충청남도 공주시 신풍면신풍길 50-11  ,670.0000,126.953256,36.517115,이미숙
충청남도,공주시,효포초등학교,충청남도 공주시 전진배길 313  (신기동),2680.0000,127.147987,36.428447,이선민
충청남도,공주시,신관초등학교,충청남도 공주시 번영1로 97-13  (신관동),1941.0000,127.138826,36.475193,천광태
충청남도,보령시,명천초등학교(강당),충청남도 보령시 주공로 119  (명천동),962.0000,126.610791,36.338890,최혜선
충청남도,보령시,웅천복지회관(전체시설),충청남도 보령시 웅천읍장터2길 15  ,423.0000,126.601534,36.232563,김동근
충청남도,천안시,천안월봉고등학교,충청남도 천안시 서북구 불당11로 51  (불당동),12044.0000,127.111869,36.804353,
충청남도,천안시,천안불당중학교,충청남도 천안시 서북구 불당11로 35  (불당동),12473.0000,127.110494,36.804601,최일성
충청남도,천안시,천안서당초등학교(체육관),충청남도 천안시 서북구 불당11로 63  (불당동),10779.0000,127.113699,36.803965,이규필
충청남도,천안시,천안월봉중학교,충청남도 천안시 서북구 광장로 245  (불당동),10468.0000,127.110811,36.800925,
충청남도,천안시,천안도솔유치원,충청남도 천안시 서북구 두정역동3길 3  (두정동),2508.0000,127.150901,36.835771,김종운
충청남도,천안시,천안두정초등학교,충청남도 천안시 서북구 두정역서1길 10  (두정동),10201.0000,127.147003,36.836331,
충청남도,천안시,천안두정중학교,충청남도 천안시 서북구 두정중1길 26  (두정동),11065.0000,127.139495,36.836253,
충청남도,천안시,천안신대초등학교,충청남도 천안시 서북구 성정두정로 130  (두정동),10429.0000,127.142875,36.837278,
충청남도,천안시,서북경찰서 체육관,충청남도 천안시 서북구 번영로 705  (업성동),337.0000,127.137019,36.857548,
충청남도,천안시,서북경찰서,충청남도 천안시 서북구 번영로 705  (업성동),423.0000,127.137019,36.857548,041-621-2660
충청남도,천안시,천안업성고등학교,충청남도 천안시 서북구 업성3길 65-11  (업성동),12214.0000,127.137552,36.861717,
충청남도,천안시,천안신당고등학교,충청남도 천안시 서북구 신당새터2길 36  (신당동),12405.0000,127.159242,36.851424,
충청남도,천안시,한국기술교육대학교,충청남도 천안시 서북구 과수원길 18  (부대동),0.0000,127.144183,36.841930,강영한
충청남도,천안시,천안부대초등학교,충청남도 천안시 서북구 공대길 37  (부대동),222.0000,127.151572,36.848615,
충청남도,천안시,부성2동주민센터,충청남도 천안시 서북구 부성7길 39-5  (두정동),315.0000,127.137811,36.837337,윤원재
충청남도,천안시,천안오성중학교,충청남도 천안시 서북구 두정고1길 25  (두정동),12362.0000,127.128949,36.836011,심정수
충청남도,천안시,천안성성중학교,충청남도 천안시 서북구 부성1길 83  (두정동),11803.0000,127.135125,36.837425,
충청남도,천안시,천안부성초등학교,충청남도 천안시 서북구 부성1길 16  (두정동),9029.0000,127.136673,36.835151,
충청남도,천안시,천안오성초등학교,충청남도 천안시 서북구 오성5길 23  (두정동),12288.0000,127.130294,36.831408,
충청남도,천안시,천안두정고등학교,충청남도 천안시 서북구 두정고2길 13  (두정동),13135.0000,127.130499,36.835297,김용환
충청남도,천안시,천안오성고등학교,충청남도 천안시 서북구 과수원길 27  (성성동),12466.0000,127.142199,36.841502,
충청남도,천안시,천안차암초등학교,충청남도 천안시 서북구 3공단6로 85-20  (차암동),10782.0000,127.105978,36.844612,
충청남도,공주시,이인초등학교,충청남도 공주시 이인면은행길 56  ,691.0000,127.078944,36.386856,김은숙
충청남도,공주시,견동마을회관,충청남도 공주시 탄천면진주고개길 9-4  ,100.0000,127.000094,36.355980,김혜정
충청남도,천안시,천안성정초등학교,충청남도 천안시 서북구 성정7길 3  (성정동),7989.0000,127.140799,36.815331,
충청남도,천안시,천안서초등학교,충청남도 천안시 서북구 서부16길 27  (성정동),10441.0000,127.139707,36.823459,이일준
충청남도,천안시,천안월봉초등학교,충청남도 천안시 서북구 월봉4로 120-8  (쌍용동),12712.0000,127.115743,36.796918,김석봉
충청남도,천안시,나사렛새꿈학교,충청남도 천안시 서북구 월봉로 48  (쌍용동),3922.0000,127.119596,36.796222,
충청남도,천안시,천안쌍용고등학교,충청남도 천안시 서북구 월봉7길 10  (쌍용동),11669.0000,127.113787,36.788131,
충청남도,천안시,천안쌍정초등학교,충청남도 천안시 서북구 충무로 5-44  (쌍용동),9499.0000,127.115075,36.787156,
충청남도,천안시,천안용암초등학교(체육관),충청남도 천안시 서북구 월봉로 147  (쌍용동),888.0000,127.118263,36.803897,이원현
충청남도,천안시,환서중학교,충청남도 천안시 서북구 한들3로 50  (백석동),9995.0000,127.124205,36.828440,
