제주특별자치도,제주특별자치도 서귀포시 대정읍,하모2리경로당,2017-05-15,2017-09-30,122.32,30,1,3,N,N,N,,제주특별자치도 서귀포시 대정읍 신영로94번길 7,,제주특별자치도 서귀포시청,,33.2202503,126.2534546,2017-09-13
제주특별자치도,제주특별자치도 서귀포시 대정읍,하모3리경로당,2017-05-15,2017-09-30,168.56,29,8,2,N,N,N,,제주특별자치도 서귀포시 대정읍 하모상가로 9 ?,,제주특별자치도 서귀포시청,,33.22177159,126.2497516,2017-09-13
제주특별자치도,제주특별자치도 서귀포시 남원읍,남원1리경로당,2017-05-15,2017-09-30,261.72,50,5,4,N,N,N,,제주특별자치도 서귀포시 남원읍 남원회관로 27,,제주특별자치도 서귀포시청,,33.27781885,126.7161553,2017-09-13
제주특별자치도,제주특별자치도 서귀포시 남원읍,남원2리경로당,2017-05-15,2017-09-30,126,25,4,1,N,N,N,,제주특별자치도 서귀포시 남원읍 남한로173,,제주특별자치도 서귀포시청,,33.2927535,126.7099186,2017-09-13
제주특별자치도,제주특별자치도 서귀포시 남원읍,남원LH아파트경로당,2017-05-15,2017-09-30,97.67,30,4,1,N,N,N,,제주특별자치도 서귀포시 남원읍 남원체육관로 342,,제주특별자치도 서귀포시청,,33.28143319,126.7212018,2017-09-13
제주특별자치도,제주특별자치도 서귀포시 남원읍,수망리경로당,2017-05-15,2017-09-30,215.99,25,2,3,N,N,N,,제주특별자치도 서귀포시 남원읍 남조로578-3,,제주특별자치도 서귀포시청,,33.32901643,126.7128016,2017-09-13
제주특별자치도,제주특별자치도 서귀포시 남원읍,신례1리경로당,2017-05-15,2017-09-30,401.93,40,3,1,N,N,N,,제주특별자치도 서귀포시 남원읍 신례로259,,제주특별자치도 서귀포시청,,33.28796494,126.6301098,2017-09-13
제주특별자치도,제주특별자치도 서귀포시 남원읍,신례2리경로당,2017-05-15,2017-09-30,140.68,35,3,1,N,N,N,,제주특별자치도 서귀포시 남원읍 공천포로69-1,,제주특별자치도 서귀포시청,,33.26508762,126.6407757,2017-09-13
제주특별자치도,제주특별자치도 서귀포시 남원읍,신흥1리경로당,2017-05-15,2017-09-30,204.6,40,6,1,N,N,N,,제주특별자치도 서귀포시 남원읍 신흥로32-10,,제주특별자치도 서귀포시청,,33.30457069,126.7676003,2017-09-13
제주특별자치도,제주특별자치도 서귀포시 남원읍,신흥2리경로당,2017-05-15,2017-09-30,173.29,25,4,1,N,N,N,,제주특별자치도 서귀포시 남원읍 한신로531번길22-1,,제주특별자치도 서귀포시청,,33.32047098,126.7451082,2017-09-13
제주특별자치도,제주특별자치도 서귀포시 남원읍,위미1리경로당,2017-05-15,2017-09-30,339.65,40,4,2,N,N,N,,제주특별자치도 서귀포시 남원읍 위미해안로4-2,,제주특별자치도 서귀포시청,,33.27405648,126.6571832,2017-09-13
